,StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed
0,576288,22,20000439,1,2019,Nene Hilario,HOU,C,2,20000022,2019-06-24T22:18:50,42,447.2,621,55,68.3,132.1,58.9,58.9,68.3,128.7,60.5,0.0,3.9,0.0,35.3,53.5,75.2,38.7,101.4,140.1,8.7,21.0,14.2,29.6,20.5,17.1,12.5,99.1,172.0,155.7,63.0,14.8,8.8,2.1,3.0,9.7,13.5,484.8,460.4,484.8,115.0,0.0,0.0,460.4,False
1,576289,28,20000440,1,2019,Marcin Gortat,LAC,C,43,20000028,2019-06-24T22:18:50,47,744.6,854,35,112.8,211.9,60.6,60.6,112.8,211.9,60.6,0.0,0.0,0.0,39.9,54.7,83.0,76.3,221.0,297.3,11.1,30.2,21.0,74.0,7.8,27.3,57.0,104.8,265.4,235.9,64.1,17.0,13.7,0.5,3.3,22.1,16.6,778.7,789.6,778.7,-111.6,1.3,0.0,789.6,False
2,577191,1,20000441,1,2019,Bradley Beal,WAS,SG,82,20000001,2019-06-24T22:18:50,82,3870.5,3448,52,870.2,1832.7,54.1,61.4,632.1,1153.8,62.4,238.1,678.8,40.0,412.3,510.3,92.0,101.4,366.8,468.1,4.1,13.3,9.5,510.3,137.8,66.1,255.1,257.4,2390.8,2057.2,66.2,28.3,27.4,2.5,2.1,12.6,32.5,4074.4,4162.8,4074.4,-127.6,12.5,2.6,4162.8,False
3,577192,1,20000442,1,2019,John Wall,WAS,PG,32,20000001,2019-06-24T22:18:50,32,1430.2,1256,58,279.1,628.7,50.6,55.7,221.0,436.2,57.7,58.1,192.5,34.4,139.0,199.3,79.4,17.1,115.0,132.1,1.9,11.5,7.4,317.8,55.8,33.0,137.8,80.9,755.2,716.4,60.0,24.9,44.6,2.7,2.9,18.4,32.9,1519.1,1551.9,1519.1,-173.1,11.4,0.0,1551.9,False
4,577193,11,20000443,1,2019,Otto Porter,CHI,SF,43,20000011,2019-06-24T22:18:50,56,1706.0,1917,51,340.6,732.4,53.0,62.2,222.1,440.8,57.4,118.5,291.6,46.2,88.8,109.3,92.5,61.5,296.1,357.6,4.5,19.3,11.5,136.7,93.4,35.3,74.0,123.0,888.4,780.5,64.8,21.1,12.6,3.1,2.1,11.2,22.3,1834.7,1830.4,1834.7,-25.1,7.8,0.0,1830.4,False
5,576290,28,20000452,1,2019,Garrett Temple,LAC,SG,55,20000028,2019-06-24T22:18:50,75,1303.8,2324,36,236.9,561.5,48.1,58.4,134.4,260.8,58.7,102.5,300.7,38.8,91.1,121.9,85.2,31.9,214.1,246.0,1.9,10.8,7.3,119.6,86.6,34.2,79.7,232.4,667.5,615.2,61.8,11.2,8.9,2.3,1.5,13.1,14.5,1424.5,1407.2,1424.5,-94.5,0.0,0.0,1407.2,False
6,576291,5,20000453,1,2019,Terrence Ross,ORL,SG,0,20000005,2019-06-24T22:18:50,81,2133.9,2449,6,501.2,1169.8,48.7,60.8,254.0,525.1,55.1,247.2,644.7,43.6,143.5,164.0,99.7,30.8,288.2,318.9,1.7,14.6,9.1,153.8,82.0,33.0,102.5,135.5,1393.0,1241.9,63.9,20.7,11.3,2.1,1.5,9.9,27.4,2249.0,2324.7,2249.0,6.5,0.0,0.0,2324.7,False
7,576292,21,20000455,1,2019,Jonas Valanciunas,MEM,C,27,20000021,2019-06-24T22:18:50,49,1622.8,1243,13,342.8,612.8,63.7,65.2,326.9,558.1,66.7,15.9,54.7,33.3,167.4,210.7,90.6,120.7,356.5,477.2,12.2,37.3,24.5,79.7,21.6,60.4,102.5,166.3,869.1,705.5,70.2,31.7,14.4,1.1,6.0,14.4,33.3,1704.9,1733.3,1704.9,80.9,18.2,0.0,1733.3,False
8,576293,24,20000456,1,2019,DeMar DeRozan,SA,SG,77,20000024,2019-06-24T22:18:50,77,3356.5,3062,14,718.7,1495.5,54.8,55.0,710.7,1444.3,56.0,9.1,51.3,17.8,416.9,502.3,94.5,61.5,464.7,526.2,2.9,18.7,10.7,541.0,98.0,41.0,226.7,201.6,1862.3,1716.5,61.7,25.6,31.5,2.0,1.5,13.3,32.0,3495.5,3522.4,3495.5,11.4,13.7,1.3,3522.4,False
9,576294,10,20000457,1,2019,Kyle Lowry,TOR,PG,65,20000010,2019-06-24T22:18:50,65,2515.4,2521,26,346.3,841.7,46.8,58.9,167.4,325.8,58.5,178.8,516.0,39.5,183.4,221.0,94.5,46.7,308.7,355.4,2.7,14.6,9.8,642.4,103.6,35.3,207.3,189.1,1054.7,938.9,64.0,22.0,39.6,2.6,1.5,20.6,22.4,2654.3,2763.8,2654.3,610.5,22.8,2.6,2763.8,False
