,StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,OpponentPosition,Possessions,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,OpponentStat
0,576657,3,1,2019,Atlanta Hawks,ATL,29,53,,12408.2,20000003,2019-06-24T22:18:51,82,25856.4,28790,0,4918.4,10909.8,65.4,75.7,3371.2,6510.5,75.1,1547.2,4399.3,51.0,2092.4,2781.1,109.0,1384.8,4096.2,5481.0,,,,3071.1,978.8,607.6,1976.4,2801.4,13476.3,12133.5,80.5,,,,,,,27442.7,28094.5,27442.7,-3581.5,133.4,2.1,28094.5,False,
1,576661,8,1,2019,Brooklyn Nets,BKN,42,40,,12094.4,20000008,2019-06-24T22:18:51,82,25050.6,28941,62,4783.6,10661.8,65.1,75.4,3265.4,6362.6,74.4,1518.2,4299.2,51.2,2250.4,3021.8,108.0,1303.6,4226.8,5530.3,,,,2831.8,780.1,491.6,1712.4,2553.4,13335.6,11991.4,80.6,,,,,,,26322.3,27070.8,26322.3,-50.8,85.6,0.0,27070.8,False,
2,575727,9,1,2019,Boston Celtics,BOS,49,33,,11852.6,20000009,2019-06-24T22:18:51,82,26260.4,28707,54,5006.8,10770.6,67.4,77.4,3510.4,6668.6,76.3,1496.4,4102.0,52.9,1861.8,2320.0,116.3,1167.2,4136.8,5304.1,,,,3126.2,1025.2,630.8,1477.6,2424.4,13371.9,11791.4,82.2,,,,,,,27916.3,28136.5,27916.3,2647.7,79.8,4.2,28136.5,False,
3,576656,2,1,2019,Charlotte Hornets,CHA,39,43,,11760.4,20000002,2019-06-24T22:18:51,82,25063.1,28774,20,4780.6,10674.9,65.0,74.5,3364.0,6639.6,73.5,1416.6,4035.4,50.9,2189.5,2747.8,115.6,1180.3,4028.1,5208.4,,,,2762.2,857.0,587.2,1386.2,2247.5,13167.4,11883.9,80.3,,,,,,,26507.3,26807.6,26507.3,-646.7,55.1,0.0,26807.6,False,
4,577255,11,1,2019,Chicago Bulls,CHI,22,60,,11835.7,20000011,2019-06-24T22:18:51,82,23668.2,28862,77,4735.7,10447.2,65.7,73.2,3655.4,7368.9,71.9,1080.2,3078.4,50.9,1925.6,2457.8,113.5,1041.1,4058.6,5099.6,,,,2605.6,874.4,509.0,1603.7,2411.4,12477.2,11528.7,78.4,,,,,,,25051.5,25376.1,25051.5,-4993.8,74.0,0.0,25376.1,False,
5,576663,12,1,2019,Cleveland Cavaliers,CLE,19,63,,11458.6,20000012,2019-06-24T22:18:51,82,22813.7,28645,0,4624.0,10416.8,64.4,72.9,3395.9,6954.2,70.8,1228.2,3462.6,51.5,1945.9,2456.3,114.8,1274.6,3797.6,5072.1,,,,2462.1,774.3,282.8,1502.2,2380.9,12422.2,11497.6,78.3,,,,,,,23870.8,24567.4,23870.8,-5713.0,89.9,0.0,24567.4,False,
6,576674,25,1,2019,Dallas Mavericks,DAL,33,49,,11764.6,20000025,2019-06-24T22:18:51,82,24525.6,28681,0,4613.9,10326.9,64.8,75.3,3132.0,5974.0,76.0,1481.9,4352.9,49.3,2234.4,3010.2,107.6,1206.4,4181.8,5388.2,,,,2781.1,772.8,509.0,1619.6,2392.5,12944.2,11651.4,80.5,,,,,,,25807.4,26530.6,25807.4,-761.2,110.2,13.0,26530.6,False,
7,576669,20,1,2019,Denver Nuggets,DEN,54,28,,11583.9,20000020,2019-06-24T22:18:51,82,26023.6,28608,0,4986.6,10706.8,67.6,76.4,3677.2,6978.8,76.4,1309.4,3728.0,50.9,1876.3,2485.3,109.5,1409.4,4106.4,5515.8,,,,3255.2,919.3,526.4,1528.3,2383.8,13158.8,11800.3,80.9,,,,,,,27469.2,27942.2,27469.2,2349.0,132.0,17.4,27942.2,False,
8,576665,14,1,2019,Detroit Pistons,DET,41,41,,11598.9,20000014,2019-06-24T22:18:51,82,24228.2,28790,19,4618.2,10495.1,63.8,73.8,3178.4,6355.4,72.5,1439.8,4139.8,50.5,2051.8,2744.8,108.3,1357.2,3990.4,5347.6,,,,2675.2,825.0,480.0,1539.9,2626.0,12728.1,11702.8,78.9,,,,,,,25533.2,26185.6,25533.2,-147.9,130.5,4.2,26185.6,False,
9,575729,26,1,2019,Golden State Warriors,GS,57,25,,12010.1,20000026,2019-06-24T22:18:51,82,27529.6,28717,0,5237.4,10673.4,71.2,81.9,3661.2,6578.6,80.8,1576.2,4094.8,55.8,1941.6,2424.4,116.1,1155.6,4335.5,5491.2,,,,3498.8,906.2,761.2,1635.6,2547.6,13992.5,11740.2,86.4,,,,,,,29197.1,29501.3,29197.1,3842.5,58.0,4.2,29501.3,False,
10,576671,22,1,2019,Houston Rockets,HOU,53,29,,11650.9,20000022,2019-06-24T22:18:51,82,25031.8,28754,0,4666.1,10386.4,65.1,78.6,2747.8,4990.9,79.9,1918.4,5395.4,51.6,2293.9,2901.4,114.7,1212.2,3788.8,5001.0,,,,2524.4,1015.0,587.2,1505.1,2614.4,13544.4,11663.0,84.2,,,,,,,26634.0,27254.6,26634.0,2834.8,162.4,11.6,27254.6,False,
